STATE,ST,TIMEZONE,TZ
Clare,CE,Greenwich Mean Time,GMT
Cavan,CN,Greenwich Mean Time,GMT
Cork,CO,Greenwich Mean Time,GMT
Carlow,CW,Greenwich Mean Time,GMT
Dublin,D,Greenwich Mean Time,GMT
Donegal,DL,Greenwich Mean Time,GMT
Galway,G,Greenwich Mean Time,GMT
Kildare,KE,Greenwich Mean Time,GMT
Kilkenny,KK,Greenwich Mean Time,GMT
Kerry,KY,Greenwich Mean Time,GMT
Longford,LD,Greenwich Mean Time,GMT
Louth,LH,Greenwich Mean Time,GMT
Limerick,LK,Greenwich Mean Time,GMT
Leitrim,LM,Greenwich Mean Time,GMT
Laois,LS,Greenwich Mean Time,GMT
Meath,MH,Greenwich Mean Time,GMT
Monaghan,MN,Greenwich Mean Time,GMT
Mayo,MO,Greenwich Mean Time,GMT
Offaly,OY,Greenwich Mean Time,GMT
Roscommon,RN,Greenwich Mean Time,GMT
Sligo,SO,Greenwich Mean Time,GMT
Tipperary,TA,Greenwich Mean Time,GMT
Waterford,WD,Greenwich Mean Time,GMT
Westmeath,WH,Greenwich Mean Time,GMT
Wicklow,WW,Greenwich Mean Time,GMT
Wexford,WX,Greenwich Mean Time,GMT
