,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,10000,"""МБАЛ-Дулово"" ЕООД (Болница)","ул. ""Розова долина""",,,,,+359 855 3029;+359 855 3200;+359 864 23200,,,,,43.8220369,27.1474586
1,10001,16 ДКЦ,,,,,,,,,yes,,42.7378805,23.5080853
2,10002,2 ДКЦ,бул. 25-ти Септември,,,,,,,,,,43.578013899999995,27.8286141
3,10003,20-ти ДКЦ,Ген. Стефан Тошев,,,,,,,,,,42.6727834,23.282714600000002
4,10004,23-ти ДКЦ,Клисура,,,,,,,,,,42.7068985,23.3533343
5,10005,25 ДКЦ,Свето Преображение,,,,,,,,,,42.6403198,23.3821525
6,10006,29-ти ДКЦ,Георги Измирлиев,,,,,,,,,,42.66472720000001,23.2962786
7,10007,2ра поликлиника,,,,,,,,,no,,42.430516100000006,25.626386800000002
8,10008,3 ДКЦ,,,,,,,,,,,42.1691595,24.7458565
9,10009,4 ДКЦ,,,,,,,,,,,42.13047,24.7143654
10,10010,5-то ДКЦ,,,,,,,,,,,42.1321695,24.7932408
11,10011,7-ми ДКЦ,,,,,,,,,no,,42.7125595,23.3154139
12,10012,AГО Хасково,Единство,,,,,,,,no,,41.9372059,25.5653265
13,10013,City Clinic,,,,,,,,,,,42.640249100000005,23.318072100000002
14,10014,Medical Center,,,,,,,,,,,42.7114026,27.759946000000003
15,10015,Medline,,,,,,,,,,,42.13866420000001,24.739922
16,10016,MБАЛНП “Св. Наум”,Д-р Любен Русев,,,,,+359 (2) 9702 300,,,,,42.6668882,23.361085600000003
17,10017,Red Cross Bulgaria,,,,,,,,,,,42.1480596,24.760916
18,10018,Trakia,,,,,,,,,yes,,42.435609899999996,25.6114744
19,10019,"АГ ""Весела""",,,,,,,,,,,42.1539677,24.756123499999998
20,10020,АГ болница,,,,,,,,,,,43.215810999999995,27.914068800000003
21,10021,Авис Медика,,,,,,,,,,,43.3857566,24.6333808
22,10022,Авис Медика,,,,,,,,,,,43.4114908,24.616688699999997
23,10023,Аджибадем Сити Клиник МБАЛ Токуда,бул. Никола Й. Вапцаров,,,,,,,,yes,,42.6655256,23.3238888
24,10024,Акушеро-гинекология,,,,,,,,,,,42.4286066,25.6269363
25,10025,Аптека,,,,,,,,,,,43.2573388,27.8161891
26,10026,Атанас Дафовски,,,,,,,,,,,41.646173100000006,25.3735196
27,10027,Балнео лечебница,,,,,,,,,,,42.505121100000004,24.3237579
28,10028,Балнео лечебница,,,,,,,,,,,42.5052003,24.323348499999998
29,10029,Болница,,,,,,059052023,,,,,42.1666739,27.8444058
30,10030,"Болница ""Люлин""",,,,,,,,,,,42.7082584,23.2491306
